 0.0000000      12.84147
 0.05000000      14.74564
 0.1000000      15.08165
 0.1500000      13.72327
 0.2000000      12.08198
 0.2500000      11.80835
 0.3000000      13.27403
 0.3500000      15.23003
 0.4000000      15.95547
 0.4500000      14.84060
 0.5000001      12.94870
 0.5500001      12.04011
 0.6000001      12.95577
 0.6500001      14.84632
 0.7000001      15.95545
 0.7500001      15.23729
 0.8000001      13.32072
 0.8500001      11.93390
 0.9000002      12.31818
 0.9500002      14.08938
 1.000000      15.59350
 1.050000      15.42960
 1.100000      13.73975
 1.150000      12.08008
 1.200000      11.99127
 1.250000      13.58295
 1.300000      15.43333
 1.350000      15.89637
 1.400000      14.61472
 1.450000      12.84736
 1.500000      12.31088
 1.550000      13.59955
 1.600000      15.63696
 1.649999      16.66336
 1.699999      15.85102
 1.749999      14.06243
 1.799999      13.05454
 1.849999      13.86038
